,price,propertyType,size,priceByArea,floor,rooms,bathrooms,district,latitude,longitude,avgPriceZone,status,hasLift,hasAirConditioning,hasBoxRoom,hasTerrace,hasGarden,hasSwimmingPool,hasParkingSpace,parkingSpacePrice,statusInt,box_posto_auto,propertyTypeInt,garden_terrace,floorCat,liftCat,roomsCat,bathroomsCat
0,16500,flat,102,161,0,4,1,SU - KODADU,45.8240444,8.8128815,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,1
1,16500,flat,23,717,0,2,1,SU - KODADU,45.8240444,8.8128815,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,1
2,16500,countryHouse,102,161,0,3,1,SU - KODADU,45.8240444,8.8128815,2047,renew,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1
3,16500,countryHouse,102,161,3,2,0,SU - KODADU,45.8240444,8.8128815,2047,renew,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0
4,22000,studio,102,215,0,1,1,SU - KODADU,45.8240444,8.8128815,2047,renew,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1
5,29000,flat,65,446,5,2,1,SU - KODADU,45.8289284,8.7927175,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,1,0,2,1
6,38000,studio,35,1085,0,1,1,SU - KODADU,45.8300593,8.8009565,2047,renew,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1
7,41250,flat,90,458,1,2,1,SU - KODADU,45.8374406,8.7886248,2047,renew,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,1
8,45000,studio,38,1184,3,1,1,SU - KODADU,45.8300761,8.8010446,2047,renew,1,0,1,0,0,0,0,0,1,1,2,0,1,1,1,1
9,49000,flat,45,1088,1,2,1,SU - KODADU,45.8243077,8.8249157,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,1
10,55000,studio,40,1375,3,1,1,SU - KODADU,45.835475,8.8088284,2047,renew,1,0,0,0,1,0,0,0,1,0,2,1,1,1,1,1
11,55000,studio,53,1037,2,1,1,SU - KODADU,45.8284692,8.804445,2047,renew,1,0,0,0,0,0,0,0,1,0,2,0,1,1,1,1
12,55000,flat,58,948,1,2,1,SU - KODADU,45.839267,8.7979668,2047,renew,0,0,0,0,1,0,1,0,1,1,3,1,0,0,2,1
13,55000,studio,36,1527,3,1,1,SU - KODADU,45.8231505,8.8104841,2047,renew,1,0,0,0,0,0,0,0,1,0,2,0,1,1,1,1
14,58000,flat,40,1450,3,2,1,SU - KODADU,45.8300761,8.8010446,2047,renew,1,0,0,0,0,0,0,0,1,0,3,0,1,1,2,1
15,58000,flat,45,1288,0,2,1,SU - KODADU,45.8300593,8.8016565,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,1
16,59000,studio,45,1311,0,1,1,SU - KODADU,45.8389687,8.7992723,2047,renew,0,0,0,0,1,0,0,0,1,0,2,1,0,0,1,1
17,60000,studio,50,1200,0,1,1,SU - KODADU,45.8400687,8.7997723,2047,renew,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1
18,70000,flat,52,1346,1,2,1,SU - KODADU,45.8238584,8.8166354,2047,renew,1,0,1,0,0,0,1,0,1,1,3,0,0,0,2,1
19,75000,flat,65,1153,4,3,1,SU - KODADU,45.8370307,8.8074042,2047,renew,1,0,1,0,0,0,1,0,1,1,3,0,1,1,3,1
20,78000,flat,145,537,1,3,2,SU - KODADU,45.837498,8.8048081,2047,renew,0,0,0,0,0,0,1,0,1,1,3,0,0,0,3,2
21,78000,flat,78,1000,1,8,2,SU - KODADU,45.8359812,8.8039417,2047,renew,0,0,1,0,0,0,1,0,1,1,3,0,0,0,4,2
22,78000,flat,128,609,1,6,2,SU - KODADU,45.8359812,8.8039417,2047,renew,0,0,1,0,0,0,0,0,1,1,3,0,0,0,4,2
23,78000,flat,61,1278,0,3,2,SU - KODADU,45.8359812,8.8039417,2047,renew,0,0,0,1,0,0,1,0,1,1,3,1,0,0,3,2
24,78000,flat,60,1300,3,2,1,SU - KODADU,45.8271126,8.7985108,2047,renew,0,0,1,0,0,0,0,0,1,1,3,0,1,0,2,1
25,78000,flat,11,7090,1,3,2,SU - KODADU,45.8359812,8.8039417,2047,good,0,0,0,0,0,0,1,0,2,1,3,0,0,0,3,2
26,79000,flat,58,1362,0,2,1,SU - KODADU,45.8236213,8.8176564,2047,renew,0,0,1,0,0,0,0,0,1,1,3,0,0,0,2,1
27,84000,studio,45,1866,1,1,1,SU - KODADU,45.8392424,8.7975824,2047,renew,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,1
28,85000,flat,65,1307,4,2,1,SU - KODADU,45.8240444,8.8128815,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,1,0,2,1
29,87874,flat,118,744,0,4,2,SU - KODADU,45.837498,8.8048081,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,2
30,87874,flat,108,813,0,4,2,SU - KODADU,45.8359812,8.8039417,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,2
31,87874,flat,118,744,0,4,2,SU - KODADU,45.8348559,8.8029282,2047,renew,0,0,1,0,0,0,0,0,1,1,3,0,0,0,4,2
32,87874,flat,11,7988,0,4,1,SU - KODADU,45.8369812,8.8031417,2047,good,0,0,0,0,0,0,0,0,2,0,3,0,0,0,4,1
33,88000,flat,98,897,2,3,1,SU - KODADU,45.8388208,8.799472,2047,renew,0,0,0,0,0,0,1,0,1,1,3,0,1,0,3,1
34,90000,flat,55,1636,3,3,1,SU - KODADU,45.8373383,8.7959974,2047,renew,0,0,1,0,0,0,0,0,1,1,3,0,1,0,3,1
35,90000,flat,65,1384,2,2,1,SU - KODADU,45.8272135,8.8012827,2047,renew,0,0,0,0,0,0,1,0,1,1,3,0,1,0,2,1
36,90000,flat,70,1285,3,3,1,SU - KODADU,45.8353884,8.8107712,2047,renew,1,0,0,0,0,0,1,0,1,1,3,0,1,1,3,1
37,90000,flat,60,1500,4,2,1,SU - KODADU,45.8246596,8.8136199,2047,renew,1,0,1,0,0,0,1,0,1,1,3,0,1,1,2,1
38,90000,flat,55,1636,4,2,1,SU - KODADU,45.8260126,8.7979108,2047,renew,0,0,1,0,0,0,1,0,1,1,3,0,1,0,2,1
39,92000,flat,54,1703,1,2,1,SU - KODADU,45.8198554,8.8121339,2047,renew,1,0,1,0,0,0,0,0,1,1,3,0,0,0,2,1
40,94000,flat,76,1236,3,2,1,SU - KODADU,45.8224528,8.8189587,2047,renew,1,0,1,0,0,0,0,0,1,1,3,0,1,1,2,1
41,95000,chalet,73,1301,0,3,1,SU - KODADU,45.8185426,8.8073675,2047,renew,0,0,1,0,1,0,1,0,1,1,4,1,0,0,3,1
42,95000,flat,100,950,2,3,1,SU - KODADU,45.8263707,8.7971331,2047,renew,0,1,0,0,0,0,0,0,1,0,3,0,1,0,3,1
43,95000,flat,75,1266,1,2,1,SU - KODADU,45.8228392,8.8158477,2047,renew,1,0,0,0,0,0,0,0,1,0,3,0,0,0,2,1
44,95000,flat,80,1187,1,3,1,SU - KODADU,45.8212179,8.8180192,2047,renew,0,0,1,0,0,0,0,0,1,1,3,0,0,0,3,1
